R,regime,strategy,B,B_over_R,dv_hohmann_bar,dv_bielliptic_bar,saving_bar,dv_saving_m_s,t_hohmann_days,t_bielliptic_days,time_ratio,extra_time_days,rb_km,rb_altitude_km,rb_over_lunar_distance,model_validity_flag
2.0,hohmann_only,B/R=1.25,2.5,1.25,0.2844570503761733,0.35167117091396244,-0.06721412053778913,-519.2802067002765,0.057741365353145155,0.17884009815235088,3.0972613317778,0.12109873279920572,16695.34075,10317.20445,0.043432207986472425,two_body_reasonable
2.0,hohmann_only,B/R=1.5,3.0,1.5,0.2844570503761733,0.4003842484769841,-0.11592719810081081,-895.6257838429652,0.057741365353145155,0.21313828443560034,3.6912581323986786,0.15539691908245518,20034.408900000002,13656.272600000002,0.05211864958376691,two_body_reasonable
2.0,hohmann_only,B/R=2,4.0,2.0,0.2844570503761733,0.46632138825555525,-0.18186433787938194,-1405.0403428594907,0.057741365353145155,0.28755688087360953,4.9800845393058655,0.2298155155204644,26712.5452,20334.408900000002,0.06949153277835587,two_body_reasonable
2.0,hohmann_only,B/R=3,6.0,3.0,0.2844570503761733,0.5386832083726658,-0.2542261579964925,-1964.090444340702,0.057741365353145155,0.4572465952106019,7.918873972135746,0.39950522985745673,40068.817800000004,33690.681500000006,0.10423729916753383,lunar_third_body_caution
2.0,hohmann_only,B/R=5,10.0,5.0,0.2844570503761733,0.6018980862576204,-0.3174410358814471,-2452.4734595759664,0.057741365353145155,0.8673406779635621,15.021132123546474,0.809599312610417,66781.363,60403.2267,0.1737288319458897,lunar_third_body_caution
2.0,hohmann_only,B/R=10,20.0,10.0,0.2844570503761733,0.652826629734077,-0.3683695793579037,-2845.935196065248,0.057741365353145155,2.2160569996703674,38.3790197221178,2.1583156343172223,133562.726,127184.5897,0.3474576638917794,lunar_third_body_caution
2.0,hohmann_only,B/R=20,40.0,20.0,0.2844570503761733,0.6795273721600897,-0.39507032178391643,-3052.218740878357,0.057741365353145155,5.941976746248361,102.90675861070028,5.884235380895216,267125.452,260747.31569999998,0.6949153277835588,lunar_third_body_caution
2.0,hohmann_only,B/R=50,100.0,50.0,0.2844570503761733,0.6959668512156382,-0.41150980083946487,-3179.2262210582185,0.057741365353145155,22.726794134343365,393.5964103956791,22.66905276899022,667813.63,661435.4937,1.737288319458897,two_body_invalid
2.0,hohmann_only,B/R=100,200.0,100.0,0.2844570503761733,0.7015185564841522,-0.4170615061079789,-3222.1173670898343,0.057741365353145155,63.569492028116784,1100.9350339973244,63.51175066276364,1335627.26,1329249.1237,3.474576638917794,two_body_invalid
5.0,hohmann_only,B/R=1.25,6.25,1.25,0.4800091544886025,0.5042885779455685,-0.024279423456965987,-187.57701403246756,0.1633172439847156,0.6362350585147191,3.89570043549267,0.4729178145300035,41738.351875,35360.215575,0.10858051996618107,lunar_third_body_caution
5.0,hohmann_only,B/R=1.5,7.5,1.5,0.4800091544886025,0.520582336629892,-0.040573182141289466,-313.45869350431246,0.1633172439847156,0.7664810207748534,4.693203253213031,0.6031637767901378,50086.02225,43707.88595,0.13029662395941727,lunar_third_body_caution
5.0,hohmann_only,B/R=2,10.0,2.0,0.4800091544886025,0.5409428261753612,-0.06093367168675867,-470.75896218440073,0.1633172439847156,1.0509778453548195,6.435192143293684,0.8876606013701038,66781.363,60403.2267,0.1737288319458897,lunar_third_body_caution
5.0,hohmann_only,B/R=3,15.0,3.0,0.4800091544886025,0.5611024486856511,-0.08109329419704858,-626.5073802308333,0.1633172439847156,1.7051062754848023,10.440454626116386,1.5417890315000868,100172.0445,93793.9082,0.26059324791883454,lunar_third_body_caution
5.0,hohmann_only,B/R=5,25.0,5.0,0.4800091544886025,0.5768871984681428,-0.09687804397954036,-748.456578765033,0.1633172439847156,3.299154097599868,20.200892551852192,3.1358368536151526,166953.4075,160575.2712,0.43432207986472426,lunar_third_body_caution
5.0,hohmann_only,B/R=10,50.0,10.0,0.4800091544886025,0.5883858449185716,-0.10837669042996911,-837.2923688903387,0.1633172439847156,8.579872577567803,52.535007132319535,8.416555333583087,333906.815,327528.6787,0.8686441597294485,lunar_third_body_caution
5.0,hohmann_only,B/R=20,100.0,20.0,0.4800091544886025,0.5939836129068059,-0.11397445841820342,-880.5393844688024,0.1633172439847156,23.235520275470435,142.2723021069654,23.072203031485717,667813.63,661435.4937,1.737288319458897,two_body_invalid
